Word,Class,CEFR,Translation,Meaning,Translation Meaning,Example 1,Example 2,Translation E1,Translation E2,Song/singer,Lyrics,Translation
dad,n.,A1,,,,,,,,"Gryffin - Heavenly Father (feat. Noah Kahan) - Recorded at Electric Lady Studios, NYC","Just lead me to a choler, dad, that's the thing",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 19 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
daily,adj.,A2,,,,,,,,HUGEL - Can't Love Myself (feat. Mishaal & LPW),"Kills me daily, my heart's breaking, yeah",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 17 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
daily,adv.,B1,,,,,,,,HUGEL - Can't Love Myself (feat. Mishaal & LPW),"Kills me daily, my heart's breaking, yeah",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 15 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dairy,adj.,B2,,,,,,,,Katy Perry - Bon Appétit (feat. Migos),"Whipped cream, no dairy",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 14 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dam,n.,C1,,,,,,,,GRACEY - Rhetorical Questions,"Dam, da-da-dam, dam, da-da-dam, dam, da-da-dam",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 12 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
damage,v.,B1,,,,,,,,Lady Gaga - Replay,"Does it matter, does it matter? Damage is done",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 11 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
damaging,adj.,C1,,,,,,,,,,
dance,v.,A1,,,,,,,,Jethro Heston - Cut Me Loose - Edit,"The rhythm makes me dance, if you don't like it, cut me loose",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 09 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dancer,n.,A1,,,,,,,,Tiësto - God Is A Dancer (with Mabel),Tiësto — God Is A Dancer (with Mabel),MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dancing,n.,A1,,,,,,,,John Summit - Thin Line,"We're all dancing on a, dancing on a thin line",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 06 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
danger,n.,A2,,,,,,,,Conan Gray - Overdrive,But I'm liking the danger,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 04 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dangerous,adj.,A1,,,,,,,,A7S - Nirvana,I know addictions can be dangerous,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 03 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dare,v.,B2,,,,,,,,Tiësto - Ritual,"You know what I want, now meet me if you dare",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  13 HOURS 00 MINUTES 01 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dark,adj.,A1,,,,,,,,PALASTIC - The Darkside,The dark side of my mind,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 59 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dark,n.,A2,,,,,,,,PALASTIC - The Darkside,The dark side of my mind,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 58 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
darkness,n.,B2,,,,,,,,Riton - Turn Me On (feat. Vula),Living life in darkness,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 56 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
data,n.,A2,,,,,,,,,,
database,n.,B2,,,,,,,,,,
date,n.,A1,,,,,,,,Chappell Roan - Super Graphic Ultra Modern Girl,Never waste a Friday night on a first date,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 54 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
date,v.,B2,,,,,,,,Chappell Roan - Super Graphic Ultra Modern Girl,Never waste a Friday night on a first date,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 52 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
daughter,n.,A1,,,,,,,,Taylor Swift - Anti-Hero,I have this dream my daughter-in-law kills me for the money,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 51 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dawn,n.,C1,,,,,,,,Rose Gray - Happiness,We were making love until the sweet dawn,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 49 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
day,n.,A1,,,,,,,,INNERVERSE - Life with You,As I wait for the day you’ll move on,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 47 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dead,adj.,A2,,,,,,,,Matt Simons - After The Landslide - Remix,Cause we been driving through the dead of night,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 46 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deadline,n.,B2,,,,,,,,,,
deadly,adj.,B2,,,,,,,,Ariana Grande - Break Free (feat. Zedd),"Like a deadly fear I am, babe",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 44 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deal,v.,A2,,,,,,,,Tensnake - Make You Mine,"Oh, you should know I'm a big deal",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 43 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deal,n.,B1,,,,,,,,Tensnake - Make You Mine,"Oh, you should know I'm a big deal",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 41 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dealer,n.,B2,,,,,,,,,,
dear,adj.,A1,,,,,,,,Imagine Dragons - Bad Liar,"Oh, hush, my dear, it's been a difficult year",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 39 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dear,exclam.,A2,,,,,,,,Imagine Dragons - Bad Liar,"Oh, hush, my dear, it's been a difficult year",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 38 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
death,n.,A2,,,,,,,,Måneskin - THE LONELIEST,"In case of death, that's what I want",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 36 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
debate,v.,B2,,,,,,,,,,
debris,n.,C1,,,,,,,,,,
debt,n.,B2,,,,,,,,,,
debut,n.,C1,,,,,,,,,,
decade,n.,B1,,,,,,,,,,
December,n.,A1,,,,,,,,Tungevaag - I Knew It Was You,That cold December (oh),MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 34 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
decent,adj.,B2,,,,,,,,,,
decide,v.,A1,,,,,,,,Halsey - Now Or Never,Baby you gotta decide somethin',MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 32 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
decision,n.,A2,,,,,,,,The Chainsmokers - Side Effects,Decision making with one too many drinks,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 31 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
decision-making,n.,C1,,,,,,,,,,
decisive,adj.,C1,,,,,,,,,,
deck,n.,B2,,,,,,,,Chappell Roan - Red Wine Supernova,She did it right there out on the deck,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 29 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
declaration,n.,C1,,,,,,,,,,
declare,v.,B2,,,,,,,,RAYE - Joy.,I declare and I decree,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 27 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
decline,n.,B2,,,,,,,,Måneskin - VALENTINE,"Valentine, my decline",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 26 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
decorate,v.,B1,,,,,,,,,,
decoration,n.,B2,,,,,,,,,,
decrease,n.,B2,,,,,,,,,,
dedicated,adj.,C1,,,,,,,,Kelly Clarkson - Since U Been Gone,You dedicated you took the time,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 24 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dedication,n.,C1,,,,,,,,,,
deed,n.,C1,,,,,,,,,,
deem,v.,C1,,,,,,,,,,
deep,adj.,A2,,,,,,,,Ryan Skyy - Lovestruck,And now it's deep in my soul,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 22 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deep,adv.,B1,,,,,,,,Ryan Skyy - Lovestruck,And now it's deep in my soul,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 21 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deeply,adv.,B2,,,,,,,,Shawn Mendes - When You're Gone,"It's gettin' real, I'm missing you deeply",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 19 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
default,n.,C1,,,,,,,,,,
defeat,n.,B2,,,,,,,,,,
defect,n.,C1,,,,,,,,,,
defence,n.,B2,,,,,,,,Jax Jones - This Is Real (ft. Ella Henderson),Resisting my own defence,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 17 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
defend,v.,B2,,,,,,,,,,
defender,n.,B2,,,,,,,,,,
defensive,adj.,C1,,,,,,,,Gryffin - Remember (with ZOHARA),"Then I get all defensive, ooh",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 15 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deficiency,n.,C1,,,,,,,,,,
deficit,n.,C1,,,,,,,,,,
define,v.,B1,,,,,,,,Gravagerz - Help Me Lose My Mind,And you bring me something I can't define,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 14 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
definite,adj.,B1,,,,,,,,,,
definitely,adv.,A2,,,,,,,,"Gryffin - Heavenly Father (feat. Noah Kahan) - Recorded at Electric Lady Studios, NYC",It's definitely lava,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 12 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
definition,n.,B1,,,,,,,,Olly Murs - Please Don't Let Me Go,I need a definition,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 10 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
defy,v.,C1,,,,,,,,,,
degree,n.,A2,,,,,,,,Shania Twain - Don't!,And I get the third degree,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 09 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
delay,n.,B2,,,,,,,,Madonna - Die Another Day,I'm gonna delay my pleasure,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
delegate,n.,C1,,,,,,,,,,
delegation,n.,C1,,,,,,,,,,
delete,v.,B2,,,,,,,,FLO - Leak It,"Tomorrow, might delete it",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 05 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deliberate,adj.,B2,,,,,,,,,,
deliberately,adv.,B2,,,,,,,,,,
delicate,adj.,C1,,,,,,,,Taylor Swift - Delicate,Taylor Swift — Delicate,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 04 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
delicious,adj.,A1,,,,,,,,Charli xcx - Guess featuring billie eilish,"Eat it up for lunch, yeah, it's so delicious",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 02 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
delight,n.,B2,,,,,,,,Jonas Blue - Naked,Appetite for delight no limit,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 59 MINUTES 00 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
delighted,adj.,B2,,,,,,,,,,
deliver,v.,B1,,,,,,,,,,
delivery,n.,B2,,,,,,,,,,
demand,v.,B2,,,,,,,,,,
democracy,n.,B2,,,,,,,,,,
democratic,adj.,B2,,,,,,,,,,
demon,n.,C1,,,,,,,,CamelPhat - Breathe,We tear our demon,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 58 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
demonstrate,v.,B2,,,,,,,,,,
demonstration,n.,B2,,,,,,,,,,
denial,n.,C1,,,,,,,,Christina Aguilera - Fighter,Through living in denial,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 57 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
denounce,v.,C1,,,,,,,,,,
dense,adj.,C1,,,,,,,,,,
density,n.,C1,,,,,,,,,,
dentist,n.,A2,,,,,,,,,,
deny,v.,B2,,,,,,,,Mariah Carey - Don't Forget About Us,That you can't deny,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 55 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
depart,v.,B2,,,,,,,,,,
department,n.,A2,,,,,,,,,,
departure,n.,B1,,,,,,,,,,
depend,v.,A2,,,,,,,,Alanis Morissette - Hands Clean,You're essentially an employee and I like you having to depend on me,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
dependence,n.,C1,,,,,,,,,,
dependent,adj.,B2,,,,,,,,,,
depict,v.,C1,,,,,,,,,,
deploy,v.,C1,,,,,,,,,,
deployment,n.,C1,,,,,,,,,,
deposit,n.,B2,,,,,,,,,,
deposit,v.,C1,,,,,,,,,,
depressed,adj.,B2,,,,,,,,,,
depressing,adj.,B2,,,,,,,,,,
depression,n.,B2,,,,,,,,Taylor Swift - Anti-Hero,When my depression works the graveyard shift,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 51 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deprive,v.,C1,,,,,,,,,,
depth,n.,B2,,,,,,,,,,
deputy,n.,C1,,,,,,,,,,
derive,v.,B2,,,,,,,,,,
descend,v.,C1,,,,,,,,,,
descent,n.,C1,,,,,,,,Lady Gaga - Born This Way,"You're black, white, beige, cholo descent",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 49 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
describe,v.,A1,,,,,,,,,,
description,n.,A1,,,,,,,,,,
desert,n.,A2,,,,,,,,George Ezra - Dance All Over Me - Jax Jones Remix,If you walk through the desert and fall to your knees,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 47 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
desert,v.,B2,,,,,,,,George Ezra - Dance All Over Me - Jax Jones Remix,If you walk through the desert and fall to your knees,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 45 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
deserve,v.,B2,,,,,,,,Calvin Harris - Blessings,"But you don't deserve it, bae, won't lie",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 44 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
design,v.,A1,,,,,,,,Jax Jones - This Is Real (ft. Ella Henderson),This vision is our design,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 42 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
designate,v.,C1,,,,,,,,,,
designer,n.,A2,,,,,,,,Ed Sheeran - Beautiful People (feat. Khalid),"Drop top, designer clothes",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 41 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
desirable,adj.,C1,,,,,,,,,,
desire,v.,B2,,,,,,,,A7S - Nirvana,"Desire, desire, the fire within",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 39 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
desk,n.,A1,,,,,,,,Jason Mraz - Have It All,May you keep the chaos and the clutter off your desk,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 37 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
desktop,n.,C1,,,,,,,,,,
desperate,adj.,B2,,,,,,,,Jonas Blue - Desperate,Jonas Blue — Desperate,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 36 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
desperately,adv.,B2,,,,,,,,Britney Spears - Don't Let Me Be the Last to Know,And that you need me desperately,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 34 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
despite,prep.,B1,,,,,,,,,,
destination,n.,B1,,,,,,,,,,
destroy,v.,A2,,,,,,,,Madonna - Die Another Day,I'm gonna destroy my ego,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 32 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
destruction,n.,B2,,,,,,,,Don Diablo - Believe,Destruction comes near to us,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 31 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
destructive,adj.,C1,,,,,,,,,,
detail,n.,A1,,,,,,,,Shania Twain - Don't!,The way you dramatize every little small detail,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  12 HOURS 58 MINUTES 29 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
